iter	Passed	Remaining
428	1663	2214
429	1666	2209
430	1669	2204
431	1673	2200
432	1677	2196
433	1680	2191
434	1683	2186
435	1686	2181
436	1689	2176
437	1693	2172
438	1696	2167
439	1699	2162
440	1702	2157
441	1705	2153
442	1709	2148
443	1712	2144
444	1715	2139
445	1718	2134
446	1721	2129
447	1725	2125
448	1728	2121
449	1731	2116
450	1734	2111
451	1738	2107
452	1742	2103
453	1745	2099
454	1749	2095
455	1754	2093
456	1758	2089
457	1761	2084
458	1764	2079
459	1767	2075
460	1770	2070
461	1773	2065
462	1776	2060
463	1779	2055
464	1783	2051
465	1786	2047
466	1789	2042
467	1792	2037
468	1795	2033
469	1799	2029
470	1802	2024
471	1805	2020
472	1808	2014
473	1812	2010
474	1816	2008
475	1819	2003
476	1822	1998
477	1825	1993
478	1829	1989
479	1832	1984
480	1835	1980
481	1837	1975
482	1840	1970
483	1846	1968
484	1849	1963
485	1852	1958
486	1855	1954
487	1858	1949
488	1861	1945
489	1865	1941
490	1868	1937
491	1871	1932
492	1875	1928
493	1878	1923
494	1881	1919
495	1883	1914
496	1887	1909
497	1890	1905
498	1894	1901
499	1896	1896
500	1899	1891
501	1901	1886
502	1903	1881
503	1906	1876
504	1909	1871
505	1912	1867
506	1915	1862
507	1917	1857
508	1920	1852
509	1922	1847
510	1924	1842
511	1927	1837
512	1930	1832
513	1933	1827
514	1935	1823
515	1938	1818
516	1941	1813
517	1943	1808
518	1946	1804
519	1949	1799
520	1951	1794
521	1954	1789
522	1956	1784
523	1959	1779
524	1961	1774
525	1964	1770
526	1966	1765
527	1969	1760
528	1972	1756
529	1976	1752
530	1979	1748
531	1982	1743
532	1985	1739
533	1988	1735
534	1991	1730
535	1993	1726
536	1996	1721
537	1999	1717
538	2003	1713
539	2006	1709
540	2009	1704
541	2012	1700
542	2014	1695
543	2020	1693
544	2023	1689
545	2026	1684
546	2029	1680
547	2032	1676
548	2036	1673
549	2039	1668
550	2042	1664
551	2044	1659
552	2050	1657
553	2053	1653
554	2056	1648
555	2059	1644
556	2062	1640
557	2066	1637
558	2069	1632
559	2072	1628
560	2075	1623
561	2078	1619
562	2081	1615
563	2085	1612
564	2088	1608
565	2091	1603
566	2094	1599
567	2097	1595
568	2100	1591
569	2103	1587
570	2107	1583
571	2109	1578
572	2113	1575
573	2116	1570
574	2119	1566
575	2122	1562
576	2125	1558
577	2128	1553
578	2131	1549
579	2133	1545
580	2136	1540
581	2138	1536
582	2141	1531
583	2143	1527
584	2146	1522
585	2149	1518
586	2151	1513
587	2153	1509
588	2156	1504
589	2158	1500
590	2162	1496
591	2165	1492
592	2167	1487
593	2170	1483
594	2173	1479
595	2175	1474
596	2179	1471
597	2182	1466
598	2184	1462
599	2187	1458
600	2189	1453
601	2192	1449
602	2195	1445
603	2198	1441
604	2201	1437
605	2203	1432
606	2206	1428
607	2210	1425
608	2212	1420
609	2215	1416
610	2217	1412
611	2221	1408
612	2224	1404
613	2228	1400
614	2231	1396
615	2233	1392
616	2237	1389
617	2241	1385
618	2243	1381
619	2246	1377
620	2249	1372
621	2252	1369
622	2255	1365
623	2258	1360
624	2261	1356
625	2263	1352
626	2266	1348
627	2272	1346
628	2275	1341
629	2277	1337
630	2280	1333
631	2284	1329
632	2287	1326
633	2291	1322
634	2293	1318
635	2296	1314
636	2300	1311
637	2303	1307
638	2306	1303
639	2309	1299
640	2312	1295
641	2315	1291
642	2318	1287
643	2321	1283
644	2324	1279
645	2327	1275
646	2330	1271
647	2333	1267
648	2337	1263
649	2339	1259
650	2342	1256
651	2345	1252
652	2348	1248
653	2351	1244
654	2354	1240
655	2357	1236
656	2360	1232
657	2364	1228
658	2367	1224
659	2370	1221
660	2374	1217
661	2376	1213
662	2380	1210
663	2383	1206
664	2386	1202
665	2389	1198
666	2392	1194
667	2394	1190
668	2398	1186
669	2401	1182
670	2404	1178
671	2406	1174
672	2410	1170
673	2412	1167
674	2416	1163
675	2419	1159
676	2422	1155
677	2425	1152
678	2429	1148
679	2432	1144
680	2435	1140
681	2438	1136
682	2442	1133
683	2445	1129
684	2448	1126
685	2451	1122
686	2454	1118
687	2457	1114
688	2460	1110
689	2463	1106
690	2466	1102
691	2468	1098
692	2471	1094
693	2474	1091
694	2493	1094
695	2498	1091
696	2501	1087
697	2505	1084
698	2510	1081
699	2513	1077
700	2516	1073
701	2518	1069
702	2521	1065
703	2524	1061
704	2527	1057
705	2529	1053
706	2532	1049
707	2534	1045
708	2538	1041
709	2541	1038
710	2544	1034
711	2546	1029
712	2548	1025
713	2551	1022
714	2554	1018
715	2556	1014
716	2558	1010
717	2561	1006
718	2563	1002
719	2566	998
720	2569	994
721	2573	990
722	2575	986
723	2579	983
724	2581	979
725	2584	975
726	2587	971
727	2590	967
728	2593	964
729	2596	960
730	2598	956
731	2601	952
732	2604	948
733	2606	944
734	2609	940
735	2612	937
736	2615	933
737	2618	929
738	2620	925
