iter	RMSE
136	0.6722552193
137	0.6653168377
138	0.6596706833
139	0.6542963155
140	0.6475014275
141	0.6420494324
142	0.6369440596
143	0.6316232126
144	0.6257164564
145	0.6208178698
146	0.6149697721
147	0.6099063706
148	0.6045448737
149	0.5995994169
150	0.5942988599
151	0.5889718666
152	0.5835836815
153	0.5789458346
154	0.574331861
155	0.5702121057
156	0.5667459726
157	0.5630674873
158	0.5584901492
159	0.554209817
160	0.5489444862
161	0.544760335
162	0.5402767129
163	0.5361156168
164	0.5318824263
165	0.528320485
166	0.5246023909
167	0.5202862675
168	0.5162916401
169	0.5127288709
170	0.5084895224
171	0.5064022315
172	0.5028067793
173	0.4997503451
174	0.495932932
175	0.4929113961
176	0.4900373393
177	0.4861334707
178	0.4826347296
179	0.4793007525
180	0.4755301212
181	0.4730185828
182	0.4708151154
183	0.4675366315
184	0.4639870861
185	0.4624426023
186	0.4591124544
187	0.4578025668
188	0.4551325322
189	0.4516036528
190	0.4482040991
191	0.4467611759
192	0.4437254129
193	0.4428283664
194	0.4405613102
195	0.4389382352
196	0.4369596192
197	0.4344571155
198	0.4331020936
199	0.4319459041
200	0.4292343126
201	0.4266093743
202	0.4238841677
203	0.4224039124
204	0.4194949227
205	0.4165216287
206	0.4145818623
207	0.4134112331
208	0.4116367678
209	0.4096822164
210	0.4086518481
211	0.4064069848
212	0.4049679532
213	0.4033889092
214	0.401289995
215	0.3993360184
216	0.3971892825
217	0.3954329097
218	0.3930363828
219	0.3906773447
220	0.3882364622
221	0.3864783185
222	0.3855908936
223	0.3848386894
224	0.3838049613
225	0.383084144
226	0.3822843235
227	0.3812242246
228	0.3797904477
229	0.3787459968
230	0.3777164612
231	0.3769949875
232	0.3743040509
233	0.3731785388
234	0.3707575287
235	0.3696592746
236	0.368892836
237	0.3668640549
238	0.364714108
239	0.3640063853
240	0.361828258
241	0.3608173782
242	0.3601401449
243	0.3585242222
244	0.3577386386
245	0.3569769507
246	0.3562322237
247	0.3553882062
248	0.3542810774
249	0.3535002876
250	0.3528308894
251	0.3519508544
252	0.3513058668
253	0.3505679963
254	0.3498912262
255	0.3486316447
256	0.3477979829
257	0.3473009362
258	0.3451495937
259	0.3435915952
260	0.3418436696
261	0.3413290998
262	0.3398461916
263	0.3379076765
264	0.3374486538
265	0.3367733834
266	0.3363235505
267	0.335593446
268	0.3349194321
269	0.333260721
270	0.3327158762
271	0.3321128545
272	0.3310633415
273	0.3297309912
274	0.3293289129
275	0.3288360938
276	0.3268343526
277	0.325482015
278	0.3250975145
279	0.3232604003
280	0.3228775373
281	0.3224846785
282	0.3221005585
283	0.3217422219
284	0.3205025667
285	0.3201352989
286	0.3197819657
287	0.3187604454
288	0.3182110809
289	0.3170462005
290	0.3156712974
291	0.3152693127
292	0.313702986
293	0.3133037729
294	0.3127356059
295	0.3112860535
296	0.3107269925
297	0.3104080206
298	0.3101068348
299	0.3086468357
300	0.3083529866
301	0.3071621312
302	0.3058763523
303	0.3055930051
304	0.304891209
305	0.3046229607
306	0.3043468078
307	0.3040883687
308	0.3025276824
309	0.3020678021
310	0.3017276318
311	0.3014783635
312	0.3012282508
313	0.3002692752
314	0.2999445674
315	0.2996915722
316	0.2990156873
317	0.2975031766
318	0.2972713415
319	0.2958779771
320	0.2956515835
321	0.2953591483
322	0.2950906849
323	0.2948055964
324	0.2945921432
325	0.2943818991
326	0.2931940523
327	0.2921717878
328	0.2910935068
329	0.2908826281
330	0.2896325829
331	0.2883196856
332	0.2873179521
333	0.286970687
334	0.2862987886
335	0.285271348
336	0.2847631541
337	0.2838773762
338	0.2832970783
339	0.282379691
340	0.2821222357
341	0.2812153811
342	0.2810238242
343	0.2801768613
344	0.2797058213
345	0.2795146282
346	0.2792926917
347	0.2784460116
348	0.2782617267
349	0.2780943911
350	0.2779327099
351	0.2773330873
352	0.2763087923
353	0.2752559798
354	0.2750900971
355	0.2744126926
356	0.2735800887
357	0.2734223174
358	0.2729992979
359	0.2721495948
360	0.2716343439
361	0.2714235056
362	0.2704121423
363	0.2692845913
364	0.2688847446
365	0.2679836247
366	0.2672795887
367	0.2665024917
368	0.2657675303
369	0.2656191145
370	0.2654262645
371	0.264565573
372	0.2642238963
373	0.2635191017
374	0.2629384793
375	0.2628028927
376	0.2626799148
377	0.2617484114
378	0.2606175981
379	0.2604841147
380	0.2603526169
381	0.260183751
382	0.2597649806
383	0.259269538
384	0.2585698666
385	0.2575709744
386	0.2574481187
387	0.2569099906
388	0.2560118047
389	0.2553830537
390	0.2546190795
391	0.2536189179
392	0.2530068925
393	0.2524688935
394	0.2517085297
395	0.2515577018
396	0.2509426518
397	0.2508352131
398	0.2497209543
399	0.2490628052
400	0.2489108684
401	0.2487625199
402	0.2482579153
403	0.2477724176
404	0.2472479882
405	0.2466062737
406	0.2460787809
407	0.2459364588
408	0.2450261698
409	0.2446233752
410	0.2435871041
411	0.2434486521
412	0.2429696526
413	0.2425543994
414	0.2419551279
415	0.2413714864
416	0.2410180381
417	0.2402392692
418	0.2398291041
419	0.2396982466
420	0.2395705565
421	0.239021367
422	0.2386982257
423	0.2385225855
424	0.2384020559
425	0.2379559179
426	0.2378708672
427	0.2371903854
428	0.236733664
429	0.2362613302
430	0.2360693386
431	0.2353061446
432	0.2345056168
433	0.2343804425
434	0.2336773159
435	0.233610813
436	0.2329658249
437	0.2322603865
438	0.2320345722
439	0.2311284136
440	0.2307605274
441	0.2300298787
442	0.2293861077
443	0.2288937978
444	0.228426128
445	0.2277724862
446	0.2275175984
447	0.2274155238
448	0.2273039321
449	0.2268241297
450	0.2266894279
451	0.2262677435
452	0.2261352844
453	0.2259599636
454	0.2253870448
455	0.2249271778
456	0.2246114939
457	0.2240499802
458	0.2232899202
459	0.222601687
460	0.2222224478
461	0.221682912
462	0.2208165021
463	0.2201701356
464	0.2197052221
465	0.2195833757
466	0.2191601095
467	0.2186234182
468	0.2182373407
469	0.2179127264
470	0.2176212201
471	0.2173787312
472	0.2171743059
473	0.2170647281
474	0.2162848047
475	0.215716361
476	0.2152771519
477	0.2147369803
478	0.2145695732
479	0.2139968613
480	0.2136346379
481	0.2131679897
482	0.2126629269
483	0.2125464678
484	0.212089665
485	0.2114689107
486	0.2112201518
487	0.2108846703
488	0.210214802
489	0.2098564954
490	0.2089472283
491	0.208665124
492	0.2084708677
493	0.207858518
494	0.2070942838
495	0.2065640897
496	0.205993575
497	0.2054318325
498	0.2052040869
499	0.2050581049
500	0.2045890806
501	0.2041370551
502	0.2036398735
503	0.203395308
504	0.2032889021
505	0.2026813551
506	0.2021905728
507	0.2020113551
508	0.2016392524
509	0.2010904651
510	0.20063978
511	0.2002093245
512	0.1997345061
513	0.1993258833
514	0.1987851033
515	0.1983446013
516	0.1980947816
517	0.1979123509
518	0.1972152672
519	0.1969278706
520	0.1966272045
521	0.1958710741
522	0.1955634523
523	0.1952749036
524	0.1949941295
525	0.194593236
526	0.1942900176
527	0.1939071332
528	0.1934896391
529	0.1933036588
530	0.1926406799
531	0.1925375993
532	0.1921720101
533	0.1918590363
534	0.1913271251
535	0.1911779328
536	0.1910815056
537	0.1909844224
538	0.1906459006
539	0.1905535183
540	0.1901271454
541	0.1900359078
542	0.1897750234
543	0.1894550543
544	0.1893660011
545	0.1892894378
546	0.1890880846
547	0.1887844743
548	0.1885996032
549	0.1882858934
550	0.1877529539
551	0.1873482288
552	0.1869892066
553	0.1869044157
554	0.1868223383
555	0.1866291326
556	0.1861859845
557	0.1856732908
558	0.185520505
559	0.1849529895
560	0.1845645394
561	0.1838763997
562	0.1838103911
563	0.1833898538
564	0.182961305
565	0.1823797329
566	0.1823167895
567	0.1820781426
568	0.1818381688
569	0.181492513
570	0.1812116083
571	0.1810694992
572	0.1804756286
573	0.1799075172
574	0.1792848253
575	0.1789338719
576	0.1783690256
577	0.1782137359
578	0.1777496146
579	0.1774229094
580	0.176784708
581	0.1760549015
582	0.1757055335
583	0.175226564
584	0.174677715
585	0.1741863265
586	0.1738701662
587	0.1737405382
588	0.1732840399
589	0.1727869177
590	0.1725123533
591	0.1721045178
592	0.1719194806
593	0.1715360139
594	0.1714426098
595	0.171371846
596	0.1710659047
597	0.1707476865
598	0.1703892939
599	0.17002308
600	0.169586916
601	0.1692211415
602	0.1687246564
603	0.1682355729
604	0.167779227
605	0.1673550168
606	0.1668538881
607	0.1664078748
608	0.166115092
609	0.1656902285
610	0.1656356603
611	0.1653052591
612	0.1646954842
613	0.1642861218
614	0.1637351885
615	0.1636827073
616	0.163567782
617	0.1632586913
618	0.1631856052
619	0.1630702138
620	0.1626014108
621	0.1625200857
622	0.1621997477
623	0.16194773
624	0.1616965211
625	0.1611119428
626	0.1610595972
627	0.1607293591
628	0.1603115408
629	0.1599228544
630	0.159856883
631	0.1596094764
632	0.1590619931
633	0.1589904032
634	0.1587605476
635	0.1582353382
636	0.157614504
637	0.1572802056
638	0.157221176
639	0.1566625802
640	0.1564576609
641	0.1562271736
642	0.1561814777
643	0.1557617474
644	0.1555061557
645	0.1553678234
646	0.1552512509
647	0.1547661127
648	0.154340208
649	0.1542834943
650	0.1540572771
651	0.1539246043
652	0.1536441825
653	0.1532098519
654	0.1528710337
655	0.1528273986
656	0.152787496
657	0.1525274649
658	0.1519690399
659	0.1517963182
660	0.1516955256
661	0.1516112691
662	0.1512433551
663	0.1510889149
664	0.1509315889
665	0.1508016675
666	0.1505686485
667	0.150078991
668	0.1495948585
669	0.1492980603
670	0.1492401862
671	0.1491358436
672	0.1489254036
673	0.1484827326
674	0.1483871789
675	0.1482865279
676	0.1480212759
677	0.1478721424
678	0.1473988591
679	0.1471268056
680	0.1470541416
681	0.1469929812
682	0.14644585
683	0.1460234626
684	0.1458217429
685	0.1454198918
686	0.1453354915
687	0.1451277963
688	0.144921239
689	0.1444823981
690	0.1443737595
691	0.1442077418
692	0.1438854742
693	0.1438253746
694	0.1433883158
695	0.1433081885
696	0.1427807805
697	0.1424222458
698	0.142168983
699	0.1421077029
700	0.1417339698
701	0.1414129217
702	0.1410437406
703	0.1409941123
704	0.1407734916
705	0.1407174132
706	0.1406740048
707	0.1404923557
708	0.1400995421
709	0.1397877746
710	0.1393512796
711	0.1392579356
712	0.13911685
713	0.1386089195
714	0.1383923173
715	0.1383060489
716	0.1382679139
717	0.137981005
718	0.1377986498
719	0.137554485
720	0.1373433863
721	0.1372164488
722	0.1369252875
723	0.1367816218
724	0.1365436659
725	0.1363741302
726	0.1361477519
727	0.1359353653
728	0.1357755904
729	0.1355846025
730	0.1355416488
731	0.1353084163
732	0.1351275346
733	0.1347946662
734	0.1345234332
735	0.1344775657
736	0.1341674831
737	0.1340539275
738	0.134015285
739	0.1338815161
740	0.1338054156
741	0.1336823981
742	0.1332039549
743	0.1331642395
744	0.1330754094
745	0.1328929015
746	0.1327664522
747	0.1323557753
748	0.1323142969
749	0.132289726
750	0.1320248467
751	0.1319089308
752	0.1318686402
753	0.1316458973
754	0.1314424033
755	0.1313728741
756	0.1313054895
757	0.1311509367
758	0.1309398359
759	0.1307474581
760	0.1306543117
761	0.130393726
762	0.1302077555
763	0.1300736419
764	0.130034789
765	0.1299995411
766	0.129878042
767	0.1296933133
768	0.1295828855
769	0.1294173432
770	0.1293468629
771	0.1293200112
772	0.1290992061
773	0.128859408
774	0.1288232327
775	0.1286450503
776	0.1281987998
777	0.1280166529
778	0.1277592635
779	0.127461265
780	0.1273777152
781	0.12719695
782	0.1268547432
783	0.1268285024
784	0.1265470983
785	0.1263505374
786	0.1263164095
787	0.1262873288
788	0.1262228626
789	0.1261195919
790	0.1260611456
791	0.1257428598
792	0.12570732
793	0.1254789289
794	0.1252574803
795	0.1251369714
796	0.1249464024
797	0.1249230051
798	0.1248414212
799	0.1246819631
800	0.1243594736
801	0.1242689684
802	0.1241807151
803	0.1240805408
804	0.1237693179
805	0.1234711817
806	0.1231664111
807	0.1229578294
808	0.1228948183
809	0.1228649934
810	0.1228426357
811	0.1228192912
812	0.1226215158
813	0.1225957493
814	0.1225438804
815	0.122477468
816	0.1223860057
817	0.1223216066
818	0.1222823345
819	0.1222083756
820	0.1221830953
821	0.1217791575
822	0.1216738561
823	0.121399862
824	0.1212890686
825	0.1209065627
826	0.120759723
827	0.1204536818
828	0.1204323904
829	0.1202417631
830	0.1201179483
831	0.120077074
832	0.1198995457
833	0.1196733761
834	0.1194551748
835	0.1193742134
836	0.1190203905
837	0.1186739509
838	0.1186207279
839	0.1182756948
840	0.1179425491
841	0.11782774
842	0.1174909547
843	0.1171563446
844	0.1169884969
845	0.1165735738
846	0.1165453644
847	0.1165218727
848	0.1163014667
849	0.1162803866
850	0.1159461018
851	0.1158257909
852	0.1156619249
853	0.1153094528
854	0.1152505439
855	0.1150066098
856	0.114685451
857	0.1143734016
858	0.1142242782
859	0.1140798708
860	0.1140546917
861	0.1139533401
862	0.1136775893
863	0.1135383025
864	0.1134096451
865	0.1132144173
866	0.1130889864
867	0.1129800343
868	0.1129444039
869	0.112781318
870	0.1124489959
871	0.1121326065
872	0.1118966895
873	0.1118773172
874	0.1118568645
875	0.1118214146
876	0.1114934866
877	0.111203231
878	0.1111324372
879	0.1109073778
880	0.1108886366
881	0.1108648525
882	0.1108092284
883	0.1106321288
884	0.1105789475
885	0.1102937583
886	0.1101632188
887	0.1098493091
888	0.1096566223
889	0.1094680737
890	0.1093724753
891	0.1092832007
892	0.1090407786
893	0.1088358492
894	0.1086291564
895	0.1083701844
896	0.1083371637
897	0.1082456605
898	0.1078216762
899	0.1077907349
900	0.1076127501
901	0.1074424402
902	0.1074231892
903	0.1073299997
904	0.1073069128
905	0.1071600474
906	0.1070197057
907	0.1066805725
908	0.1066530141
909	0.106588267
910	0.1064935651
911	0.1062914243
912	0.1059484731
913	0.1058072216
914	0.1054657357
915	0.1051770386
916	0.1049185143
917	0.1048705582
918	0.1045648436
919	0.1044588548
920	0.1042999813
921	0.1042738545
922	0.1042401231
923	0.104151774
924	0.1039603444
925	0.1038736023
926	0.1037261478
927	0.1036979875
928	0.1035978607
929	0.1034725163
930	0.1033447909
931	0.1032316083
932	0.1030321193
933	0.1029624877
934	0.1027596952
935	0.1027027524
936	0.1025435819
937	0.1025295718
938	0.1023453799
939	0.102239413
940	0.1019111016
941	0.1017795539
942	0.1017501987
943	0.1013612204
944	0.1010089435
945	0.1009830856
946	0.1009664529
947	0.1007892874
948	0.1007445725
949	0.1007234395
950	0.1006346868
951	0.1005422707
952	0.100448147
953	0.1002295275
954	0.100154778
955	0.1001123086
956	0.09985898548
957	0.09963474899
958	0.09953194411
959	0.09936677975
960	0.09929602544
961	0.0992802894
962	0.09910046956
963	0.09883687738
964	0.09872681912
965	0.09851554824
966	0.09840823795
967	0.09838528357
968	0.09820582845
969	0.0981363046
970	0.09797306202
971	0.0977633879
972	0.09757056414
973	0.09746703099
974	0.09745096712
975	0.09739575258
976	0.09727864828
977	0.09725862097
978	0.0970571845
979	0.09703506098
980	0.0970154296
981	0.09698267162
982	0.09684031298
983	0.09673873874
984	0.09672128234
985	0.09644106103
986	0.09634013652
987	0.09621621881
988	0.09595212243
989	0.09586108142
990	0.09579072403
991	0.0954869253
992	0.09546555795
993	0.09526573947
994	0.09514676747
995	0.09510238093
996	0.09482808893
997	0.09477919752
998	0.09470443829
999	0.09469364159
